59,진주청국장,박홍전,서초동 1365-22,02-525-6919,한식,청국장
60,수미관,서준형,서초동 1427-5 1층,02-582-0707,한식,곰탕
61,부일갈비,김종구,서초동 1427-6 101호,02-585-3112,한식,갈비탕
62,송쉐프,권중백,서초동 1431-14,02-598-9662,중식,자장면/ 짬뽕 등
63,강촌식당 서초점,유지선,서초동 1443-4 1층,02-586-8787,한식,닭갈비
64,신선설농탕,오청,서초동 1443-8 1층,02-3473-1155,한식,설렁탕
65,선궁,허익회,서초동 1451-34,02-597-1397,중식,중국요리
66,서초갈비,설원철,서초동 1451-77 2층,02-582-2988,한식,등심
67,백년 한정식,최요섭,서초동 1451-95 지하1층,02-586-8979,한식,한정식
68,소들녘 서초점,전은정,서초동 1485-5 (소방 1 2층),02-583-0505,한식,소불고기
69,da Pitta(다 피타),강희영,서초동 1487-3 1층,02-523-5147,양식,파스타/피자
70,영변,차석재,서초동 1503-13 2/3층,02-583-1123,일식,회정식
71,신박사 콩사랑,신동안,서초동 1503-15 1층,02-588-8862,한식,순두부/콩국수
72,다피타(da pitta),노은영,서초동 1503-16,02-521-5147,양식,파스타/피자
73,서초정육식당,이경득,서초동 1503-19,02-588-0290,한식,등심
74,영양센타 서초역점,김윤식,서초동 1505-6,02-3487-0101,한식,전기구이통닭
75,수원본갈비1993,김민주,서초동 1511-12,02-521-1727,한식,감자탕
76,리스토란떼 일 디토 서초,이지훈,서초동 1516-2 (주)삼성출판사 사옥,02-3471-7021,양식,스테이크/파스타
77,진도울돌목가는길,박안나 외 2명,서초동 1540-1,02-521-6032,한식,한정식
78,미유끼,범미정,서초동 1540-11 보광빌딩 지하1층,02-585-2844,일식,광어회
79,미각,김춘희,서초동 1543-1,02-585-9095,한식,생등심
80,포메인서초점,김근자,서초동 1543-8 1층 102호,02-521-0722,한식,쌀국수
81,부산아지매국밥 서초역점,강현숙,서초동 1544-2/ 1층,02-582-9882,한식,전복회정식
82,BABBO PIZZA(밥보피자),최유미,서초동 1545-2 1층,02-585-0082,양식,피자
83,서초 불쭈꾸미,김수선,서초동 1552-6 지상1층,02-3486-9994,한식,설렁탕
84,리향,유영대 외 1명,서초동 1552-7 2층,02-525-3580,중식,중화요리
85,가조고향마을,오성석,서초동 1552-16 1층,02-584-0199,한식,등심
86,초원복집,최성례,서초동 1552-18 1층,02-598-3654,한식,복요리
87,향나무집,배인순,서초동 1553-14 지상1층,02-597-5554,한식,낙지/홍어찜
88,서귀포 오분작 뚝배기,정미자,서초동 1555-2 1/2층,02-523-9898,한식,해물찜/ 해물돌솥밥
89,서초면옥,최홍용 외 1명,서초동 1557-7 (지상1층 가호),02-522-1422,한식,냉면/갈비찜
90,우리바다생태찌개,허영윤,서초동 1564-12 1층,02-582-0128,한식,생태찌개
91,하남돼지집 교대점,권선단,서초동 1567-8 1층,02-3473-9282,한식,고기류
92,나나마구로,강정민,서초동 1571-6 1층/ 2층,02-582-5674,일식,참치회
93,신촌설렁탕 교대역점,백정석,서초동 1571-12 1층,02-585-2929,한식,설렁탕
94,대찬횟집 교대점,신일식,서초동 1571-15 지하1층,02-525-8858,일식,매운탕
95,옛날전통육개장 전문점 육대장 한방보쌈·전골,이진수,서초동 1571-17 1층,02-6959-7889,한식,육개장
96,원당,서영보,서초동 1571-26,02-583-3333,한식,감자탕
97,서초 장어타운,황지윤,서초동 1571-30 3층/4층,02-521-6934,한식,장어
98,모악정,김경자,서초동 1572-18 지하1층,02-584-1132,한식,해물삼합
99,봉추찜닭,김익환 외 1명,서초동 1574-6 101호,02-584-6981,한식,찜닭
100,리밍,전성정,서초동 1576-1 지층,02-583-5989,중식,자장면
101,한우플러스,권오덕,서초동 1576-9 지산빌딩 2층,02-522-6457,한식,등심
102,가온매운갈비찜,최문석,서초동 1579-1 지하1층,02-586-5959,한식,매운갈비찜
103,크래버 대게나라,김소영,서초동 1582-16 1층,02-525-9779,한식,대게요리
104,앨리스가든 플라워앤티 하우스,박영신 외 1명,서초동 1584-7 지상1층,02-583-5658,기타,커피/빵
105,삼대나주곰탕,정경희,서초동 1585-18 101/102/103/104,02-583-3433,한식,곰탕
106,서초아구찜,장동학 외 1명,서초동 1588-8 1층 105호,02-522-3673,한식,아구찜
107,국수명가,유금순,서초동 1588-13,02-3473-0045,분식,국수
108,든든한우家,이희춘,서초동 1591-11 2/3층,02-586-4000,한식,등심
109,함평한우 정육식당,김경미,서초동 1595-6 1층,02-582-2828,한식,등심
110,홍천한우,이희춘,서초동 1595-8 2층일부/3층일부,02-586-0513,한식,등심
111,동수원갈비,김숙희,서초동 1601-1 샤르망 지하1층 B01호~B04호/ B05호일부,02-588-7060,한식,왕갈비
112,우작설렁탕,권도훈,서초동 1621-5,02-584-8544,한식,설렁탕
113,소공동뚝배기집 교대점,최용식,서초동 1659-17 추호주택 지하1층,02-586-1962,한식,직화구이
