마켓번호,마켓이름,음식,가격,오류
107,국수명가,아삭김치말이 국수,6000,
107,국수명가,명가비빔국수,6000,
107,국수명가,얼큰짬뽕국수,6500,
107,국수명가,명가만두국수,6000,
108,든든한우家,살치&안창&토시(100g),30000,
108,든든한우家,안심&부채&치마(100g),25000,
108,든든한우家,꽃등심 1+,22000,
108,든든한우家,등심 1+,18000,
108,든든한우家,갈비살,20000,
109,함평한우 정육식당,안창살,45000,
109,함평한우 정육식당,살치&토시살,40000,
109,함평한우 정육식당,꽃등심,35000,
109,함평한우 정육식당,갈비살,28000,
109,함평한우 정육식당,생등심,25000,
110,홍천한우,한우스페셜,55000,
110,홍천한우,한우 꽃등심,55000,
110,홍천한우,한우 갈비살,45000,
110,홍천한우,한우 생등심,45000,
111,동수원갈비,한우등심,35000,
111,동수원갈비,수제 소왕갈비,29000,
111,동수원갈비,육회,25000,
111,동수원갈비,갈비살,18000,
111,동수원갈비,수제 돼지왕갈비,14000,
112,우작설렁탕,설렁탕,10000,
112,우작설렁탕,도가니탕,15000,
112,우작설렁탕,우작진탕,16000,
112,우작설렁탕,꼬리곰탕,23000,
112,우작설렁탕,양지수육(소),33000,
113,소공동뚝배기집 교대점,제육직화(3인),25000,
113,소공동뚝배기집 교대점,섞어직화(3인),25000,
113,소공동뚝배기집 교대점,오징어직화(3인),26000,
113,소공동뚝배기집 교대점,주꾸미직화(3인),26000,
113,소공동뚝배기집 교대점,낙지직화(3인),26000,
114,애향,아구찜,60000,
114,애향,홍어회,60000,
114,애향,산낙지 호롱구이,20000,
114,애향,꼬막무침,40000,
114,애향,멍게비빔밥,10000,
115,주식회사 서석대,한우꽃등심,65000,
115,주식회사 서석대,서석대정식,30000,
115,주식회사 서석대,보리굴비 정식,25000,
115,주식회사 서석대,한우등심(150g),48000,
115,주식회사 서석대,한우 주물럭(150g),43000,
116,늘봄웰봄,생등심,69000,
116,늘봄웰봄,꽃갈비살,49000,
116,늘봄웰봄,양념갈비,39000,
116,늘봄웰봄,샤브샤브,29000,
116,늘봄웰봄,국수전골,19000,
117,서초 해물찜,해물찜(소),59000,
117,서초 해물찜,바지락칼국수,9000,
117,서초 해물찜,새알팥죽,10000,
117,서초 해물찜,아구찜,59000,
118,미타니야 교대역점,생혼마구로사시미,24000,
118,미타니야 교대역점,생혼마구로스시,25000,
118,미타니야 교대역점,유부우동,9000,
118,미타니야 교대역점,등심돈까스덮밥,13000,
118,미타니야 교대역점,카레라이스,10000,
119,용봉대반점,짜장면,7000,
119,용봉대반점,삼선간짜장,8000,
119,용봉대반점,사천탕면,10000,
119,용봉대반점,해물짬뽕,8000,
119,용봉대반점,북경탕수육(소),20000,
120,서초보쌈,서초보쌈(소),35000,
,서초보쌈,서초보쌈(중),49000,
,서초보쌈,보쌈정식,12000,
,서초보쌈,한우국밥,9000,
,서초보쌈,막국수,9000,
121,태평양,특골드 저녁메뉴,120000,
121,태평양,활어골드 저녁메뉴,100000,
121,태평양,모듬회 특 저녁메뉴,80000,
121,태평양,특회정식 런치메뉴,55000,
121,태평양,특정식 런치메뉴,44000,
121,태평양,주말 회정식,55000,
122,교대강릉집,활어회무침(중),60000,
122,교대강릉집,모듬사시미(중),90000,
123,신태평양,특골드 저녁메뉴,120000,
123,신태평양,활어골드 저녁메뉴,100000,
123,신태평양,모듬회 특 저녁메뉴,80000,
123,신태평양,특회정식 런치메뉴,55000,
123,신태평양,특정식 런치메뉴,44000,
124,설국,보리굴비정식,29000,
124,설국,옥돔정식,29000,
124,설국,우동정식,17000,
124,설국,도미지리 또는 매운탕,30000,
124,설국,생대구지리 또는 매운탕,27000,
125,짝꿍 떡볶이,짝꿍 떡볶이(2인),12000,
125,짝꿍 떡볶이,짝꿍 떡볶이(4인),21000,
125,짝꿍 떡볶이,춘장 떡볶이(2인),12000,
125,짝꿍 떡볶이,춘장 떡볶이(4인),21000,
125,짝꿍 떡볶이,해물떡볶이(2인),14000,
126,엉터리생고기 교대역점,한우한마리(800g),95000,
126,엉터리생고기 교대역점,돼지한마리(800g),52000,
126,엉터리생고기 교대역점,꽃등심(150g),36000,
126,엉터리생고기 교대역점,생등심(150g),32000,
126,엉터리생고기 교대역점,차돌박이(150g),28000,
127,빛고을으뜸추어탕,추어탕,10000,
127,빛고을으뜸추어탕,돈까스&우동,8000,
127,빛고을으뜸추어탕,통추어탕,12000,
127,빛고을으뜸추어탕,우렁추어탕,12000,
127,빛고을으뜸추어탕,올갱이추어탕,12000,
127,빛고을으뜸추어탕,오므라이스&우동,8000,
128,만경생태,생태전골,14000,
128,만경생태,동태전골,8000,
128,만경생태,대구탕,10000,
128,만경생태,생대구탕,14000,
128,만경생태,생선까스,8000,
129,송학횟집,점심회정식(1인당),50000,
129,송학횟집,저녁회정식(1인당),88000,
129,송학횟집,탕,20000,
129,송학횟집,점심 10인이상 단체 1인당,33000,
129,송학횟집,저녁 10인이상 단체 1인당,55000,
130,기와집순두부,순두부,8000,
130,기와집순두부,뚝배기 된장찌개,8000,
130,기와집순두부,콩비지,9000,
130,기와집순두부,뚝배기해물순두부,9000,
130,기와집순두부,기와집정식(점심),21000,
131,한우명가 노고단,버섯생불고기,15000,
131,한우명가 노고단,갈비탕,9000,
131,한우명가 노고단,한우육회비빔밥,8000,
131,한우명가 노고단,돌솥비빔밥,7000,
131,한우명가 노고단,산채비빔밥,6000,
132,황궁,양장피,36000,
132,황궁,삼선짬뽕,10000,
132,황궁,깐풍새우,45000,
132,황궁,고추잡채밥,12000,
133,남도미락,돌솥정식,19500,
133,남도미락,보리굴비정식,25000,
133,남도미락,일반정식,15000,
133,남도미락,간장게장정식,30000,
133,남도미락,육전,20000,
134,대나무골,영의정 정식,52000,
134,대나무골,좌의정 정식,43000,
134,대나무골,왕정 정식,62000,
134,대나무골,우의정 정식,37000,
134,대나무골,대나무 정식(점심특선),25000,
135,램하우스 서초법원점,양갈비(200g),30000,
135,램하우스 서초법원점,램꽃등식,42000,
135,램하우스 서초법원점,전골(대),50000,
135,램하우스 서초법원점,전골(중),40000,
135,램하우스 서초법원점,양사골곰탕,10000,
136,우밀면옥 교대점,평양냉면,12000,
136,우밀면옥 교대점,어복쟁반,70000,
136,우밀면옥 교대점,메밀비빔냉면,12000,
136,우밀면옥 교대점,불고기,30000,
136,우밀면옥 교대점,갈비탕,15000,
137,장원한정식,점심한정식,25000,
137,장원한정식,저녁한정식,38000,
137,장원한정식,간장게장 정식,30000,
137,장원한정식,조기구이 정식,15000,
138,이남장(서초점),설렁탕,10000,
138,이남장(서초점),내장탕,11000,
138,이남장(서초점),족탕,25000,
138,이남장(서초점),설렁탕 특,17000,
138,이남장(서초점),도가니탕,25000,
139,서초원,수라상,46000,
139,서초원,점심특선메뉴1,24000,
139,서초원,점심특선메뉴2,29000,
139,서초원,점심특선메뉴3,34000,
139,서초원,궁중상 ,40000,
140,전주가,진코스,25000,
140,전주가,보리굴비,33000,
140,전주가,진정식,38000,
141,북해도,북해도 정식,30000,
141,북해도,정식,27000,
141,북해도,생선초밥(특),45000,
141,북해도,생대구지리,25000,
141,북해도,장어정식,40000,
142,오발탄,특양구이,38000,
142,오발탄,한우대창구이,37000,
142,오발탄,양념갈비,53000,
142,오발탄,홍창구이,36000,
142,오발탄,한우채끝등심,54000,
143,오선채,오선채 한정식,25000,
143,오선채,오선채 영양밥 한정식,28000,
143,오선채,오선채 영양밥 특한정식,37000,
143,오선채,오선채 간장게장정식,55000,
143,오선채,돼지수육,35000,
144,일품헌,스페셜 샤브 정식,22000,
144,일품헌,소고기정식,34000,
144,일품헌,점심특선,22000,
144,일품헌,샤브칼국수,13000,
144,일품헌,한우정식,44000,
145,인덕원비빔국수,비빔국수,8000,
145,인덕원비빔국수,동치미(열무)국수,7000,
145,인덕원비빔국수,잔치국수,7000,
145,인덕원비빔국수,만두,5000,
146,갈비사랑,양념갈비,43000,
146,갈비사랑,우대갈비,48000,
146,갈비사랑,생갈비,53000,
146,갈비사랑,생등심,57000,
146,갈비사랑,꽃등심,68000,
147,백마 김씨네,떡갈비 정식,42000,
147,백마 김씨네,꽃등심,71000,
147,백마 김씨네,보리굴비 정식,42000,
147,백마 김씨네,양념갈비 정식(점심특선),45000,
147,백마 김씨네,생갈비 정식,55000,
148,영동회관,급냉 삼겹살,13000,
148,영동회관,청국장찌개,8000,
148,영동회관,키조개 관자,12000,
148,영동회관,순두부찌개,8000,
149,청정해참치,혼마구로,70000,
149,청정해참치,회덮밥,10000,
149,청정해참치,혼마구로스페샬,120000,
149,청정해참치,특참치초밥,35000,
149,청정해참치,참치초밥,20000,
150,동신참치양재직영점,회덮밥,14000,
150,동신참치양재직영점,참치회,60000,
150,동신참치양재직영점,참치정식,23000,
150,동신참치양재직영점,메로구이,25000,
150,동신참치양재직영점,메로탕,25000,
